time,cmd_dq,state_dq
0,0,0
0.01,0.392695,-0
0.02,0.785366,0.0598019
0.03,1.17799,0.159472
0.04,1.57054,0.252497
0.05,1.96299,0.558151
0.06,2.35532,1.38209
0.07,2.74751,1.60136
0.08,3.13953,1.92031
0.09,3.53135,2.32563
0.1,3.92295,2.59142
0.11,4.31432,2.67115
0.12,4.70542,3.17614
0.13,5.09622,3.78745
0.14,5.48672,4.09311
0.15,5.87687,4.31238
0.16,6.26666,4.89711
0.17,6.65607,5.01007
0.18,7.04506,5.58151
0.19,7.43362,6.0267
0.2,7.82172,6.20611
0.21,8.20934,6.5915
0.22,8.59646,6.94366
0.23,8.98304,7.23603
0.24,9.36907,7.73438
0.25,9.75452,8.02674
0.26,10.1394,8.44536
0.27,10.5236,8.95699
0.28,10.9072,9.26265
0.29,11.2901,9.3889
0.3,11.6723,10.0534
0.31,12.0538,10.3457
0.32,12.4345,10.7909
0.33,12.8145,11.0168
0.34,13.1937,11.462
0.35,13.572,11.8939
0.36,13.9496,12.1863
0.37,14.3262,12.5318
0.38,14.702,12.8508
0.39,15.0769,13.2428
0.4,15.4508,13.5019
0.41,15.8238,13.9206
0.42,16.1959,14.2395
0.43,16.5669,14.605
0.44,16.9369,15.1432
0.45,17.3059,15.3558
0.46,17.6737,15.6349
0.47,18.0405,16.1066
0.48,18.4062,16.4256
0.49,18.7708,16.7312
0.5,19.1342,17.0635
0.51,19.4964,17.6083
0.52,19.8574,17.8143
0.53,20.2172,18.0269
0.54,20.5757,18.4389
0.55,20.933,18.8841
0.56,21.289,19.1765
0.57,21.6436,19.5685
0.58,21.997,20.0004
0.59,22.3489,20.3194
0.6,22.6995,20.5519
0.61,23.0487,20.9572
0.62,23.3965,21.2496
0.63,23.7428,21.5553
0.64,24.0877,21.8078
0.65,24.4311,22.2795
0.66,24.7729,22.6981
0.67,25.1133,22.8643
0.68,25.4521,23.336
0.69,25.7893,23.5885
0.7,26.1249,23.9872
0.71,26.459,24.253
0.72,26.7913,24.5586
0.73,27.1221,24.9507
0.74,27.4511,25.2563
0.75,27.7785,25.6151
0.76,28.1042,25.9075
0.77,28.4281,26.253
0.78,28.7503,26.4922
0.79,29.0707,27.0039
0.8,29.3893,27.2564
0.81,29.7061,27.4225
0.82,30.021,27.8411
0.83,30.3341,28.2132
0.84,30.6454,28.3395
0.85,30.9547,28.5787
0.86,31.2621,28.9109
